cod_apo,regiao,ano_modelo,tipo_franq,val_franq,is_casco,utilizacao,clas_bonus,perc_bonus,sexo,idade_condutor,exposicao,pre_casco,n_sinistros,valor_sinistro
37265301,01,2009,1,1225,15628,0,9,30,F,55.62765229295003,0.42984257357973993,445,0,0
150777591,01,2017,1,1857,45956,1,0,30,F,38.31074606433949,0.28199863107460643,1093,0,0
210662922,01,2012,1,1355,32399,1,0,49,M,49.96303901437371,0.49555099247091033,665,0,0
276792895,01,2012,1,1386,23004,2,9,0,F,38.63107460643395,0.48186173853524983,629,0,0
87673124,01,2015,1,1375,39470,0,9,30,F,63.93976728268309,0.49555099247091033,656,0,0
196604835,01,2013,1,1803,25610,2,3,20,M,23.06091718001369,0.049281314168377825,46,0,0
80521568,01,2017,1,2002,54616,1,1,30,F,60.271047227926076,0.024640657084188913,750,0,0
95542208,01,2009,2,2973,27291,1,0,49,M,53.322381930184804,0.49555099247091033,670,0,0
113167882,01,2014,1,1964,42186,0,6,31,F,21.67008898015058,0.4462696783025325,1617,0,0
147494832,01,2007,1,2216,21058,1,3,0,M,45.177275838466805,0.019164955509924708,1329,0,0
45210360,01,2008,1,1876,21741,1,1,30,M,65.12799452429843,0.23545516769336072,863,0,0
241838260,01,2007,1,1471,11906,1,0,0,F,20.418891170431213,0.07392197125256673,977,0,0
272335344,01,2018,1,1872,58863,2,8,30,F,41.177275838466805,0.3668720054757016,2668,0,0
231310535,01,2010,2,1568,27926,2,4,0,M,70.48049281314168,0.49555099247091033,741,0,0
159605576,01,2012,2,1755,24887,2,4,0,F,74.01505817932923,0.4462696783025325,591,0,0
181258722,01,2013,1,2275,43029,1,1,30,F,54.09993155373032,0.459958932238193,839,0,0
231504858,01,2015,1,1724,43991,2,9,44,F,54.31074606433949,0.49555099247091033,938,0,0
155754518,01,2010,1,1737,26665,2,0,0,F,51.73990417522245,0.26283367556468173,836,0,0
280110393,01,2013,1,1681,36089,1,1,30,M,82.65023956194388,0.49555099247091033,1436,0,0
99066261,01,2013,1,1789,33533,2,9,10,F,40.328542094455855,0.13415468856947296,781,0,0
108275441,01,2011,2,1720,23778,2,8,0,M,52.39151266255989,0.49555099247091033,526,0,0
261355710,01,2018,1,1592,45114,1,0,15,F,47.110198494182065,0.04106776180698152,2044,0,0
68076457,01,2009,2,2833,19073,2,3,0,F,27.96167008898015,0.10130047912388775,481,0,0
218286037,01,2012,2,3807,29446,2,0,0,M,52.09034907597536,0.49555099247091033,1974,4,601
282639169,01,2015,2,1657,30854,2,4,0,M,35.79739904175222,0.05475701574264202,886,0,0
218140184,01,2014,1,1898,30807,1,0,0,F,49.399041752224505,0.49555099247091033,826,0,0
133361364,01,2017,1,1759,48759,2,8,45,F,49.76865160848734,0.243668720054757,818,0,0
69524214,01,2011,2,2942,17882,2,3,20,M,56.99657768651608,0.49555099247091033,1499,0,0
41857519,01,2008,1,3548,18739,2,0,0,M,31.64955509924709,0.2600958247775496,726,0,0
269648805,01,2015,2,2671,32818,2,9,0,F,30.926762491444215,0.06023271731690623,594,0,0
162782779,01,2017,1,1529,50140,1,0,30,M,64.99110198494182,0.2874743326488706,1724,0,0
268947412,01,2018,1,1576,67504,2,9,0,F,61.24845995893224,0.49555099247091033,2067,0,0
268417328,01,2017,1,1789,39794,1,0,25,F,45.738535249828885,0.48186173853524983,1145,0,0
82998371,01,2017,1,1503,38371,1,8,0,F,35.0362765229295,0.3531827515400411,760,0,0
241970337,01,2013,1,1315,30990,1,0,0,M,55.78370978781656,0.3613963039014374,570,0,0
42510737,01,2013,1,1455,22153,1,0,0,M,19.236139630390145,0.15331964407939766,1386,0,0
194024200,01,2016,1,1399,32441,0,2,13,F,33.667351129363446,0.49555099247091033,1294,1,31274
41458167,01,2014,1,3164,33746,2,9,25,F,73.35523613963039,0.49555099247091033,933,0,0
203816705,01,2017,1,1589,54863,1,0,30,M,67.71252566735113,0.24914442162902123,920,0,0
169303730,01,2017,1,2189,69745,2,5,30,F,55.780971937029435,0.49555099247091033,2375,1,38
264694734,01,1999,1,1383,10081,2,4,25,F,34.469541409993155,0.4462696783025325,436,0,0
